"Item.Number","Item.Description"
173,"Laphroaig w/ Whiskey Stones"
30056,"Fleischmann's Gin"
43337,"Captain Morgan Spiced Rum"
25607,"Seagrams 7 Crown Bl Whiskey"
34006,"Absolut Swedish Vodka 80 Prf"
19061,"Jim Beam Mini"
73051,"Rumchata Mini"
28087,"Beefeater Gin"
26824,"Jack Daniels Old #7 Black Lbl Square"
29998,"Five O'clock Gin"
64867,"Fireball Cinnamon Whiskey"
42718,"Malibu Coconut Rum"
4114,"Rumchata Iced Coffee Pack"
11294,"Crown Royal Canadian Whisky"
10553,"Black Velvet Cinnamon Rush"
37986,"Skyy Vodka"
52582,"E & J Vsop Superior Reserve"
11298,"Crown Royal Canadian Whisky"
11347,"Seagrams V.o. Bl Canadian Whisky"
46350,"Hawkeye Light Rum"
11776,"Black Velvet"
45276,"Paramount White Rum"
37418,"Popov Vodka 80 Prf"
15626,"Jameson"
43285,"Captain Morgan Original Spiced Rum Pet"
37346,"Phillips Vodka"
68306,"Emmets Irish Cream Liqueur"
41846,"Everclear Alcohol"
27680,"Jim Beam Kentucky Fire Mini"
25604,"Seagrams 7 Crown Bl Whiskey"
75208,"Kinky Liqueur Mini"
86887,"Southern Comfort"
37991,"Smirnoff Vodka 80 Prf Mini"
483,"Absolut Electrik w/2 Glasses"
43331,"Captain Morgan Spiced Rum Mini"
64933,"1800 Coconut"
82606,"Dekuyper Sour Apple Pucker"
37994,"Smirnoff Vodka 80 Prf"
52594,"E & J Vs Brandy"
11771,"Black Velvet Mini"
17206,"Cedar Ridge Bourbon"
82607,"Dekuyper Sour Apple"
67526,"Kahlua Coffee Liqueur"
15246,"Windsor Canadian"
52593,"E & J Vs Brandy"
41693,"Uv Blue (raspberry) Vodka"
42716,"Malibu Coconut Rum"
11774,"Black Velvet"
36301,"Hawkeye Vodka 80 Prf Mini"
58838,"Jose Cuervo Authentic Lime Margarita"
34366,"Fris Danish Vodka"
38176,"Titos Vodka"
79336,"Paramount Creme De Menthe/green"
