"Date","Store.Number"
2015-11-30,2662
2015-11-30,5173
2015-11-30,2517
2015-11-30,5070
2015-11-30,3696
2015-11-30,4361
2015-11-30,4152
2015-11-30,2647
2015-11-30,3465
2015-11-30,3740
2015-11-30,4604
2015-11-30,4306
2015-11-30,4874
2015-11-30,2539
2015-11-30,5204
2015-11-30,4258
2015-11-30,4159
2015-11-30,2558
2015-11-30,4024
2015-11-30,3611
2015-11-30,2555
2015-11-30,3899
2015-11-30,3707
2015-11-30,2560
2015-11-30,4617
2015-11-30,5108
2015-11-30,4794
2015-11-30,3679
2015-11-30,2590
2015-11-30,4746
2015-11-30,4467
2015-11-30,2190
2015-11-30,2569
2015-11-30,4696
2015-11-30,5022
2015-11-30,4379
2015-11-30,2633
2015-11-30,3663
2015-11-30,3403
2015-11-30,2613
2015-11-30,3644
2015-11-30,3908
2015-11-30,3400
2015-11-30,4180
2015-11-30,3525
2015-11-30,2191
2015-11-30,2591
2015-11-30,3805
2015-11-30,4155
2015-11-30,3385
2015-11-30,4067
2015-11-30,4312
2015-11-30,3563
2015-11-30,5071
2015-11-30,4126
2015-11-30,4698
2015-11-30,5001
2015-11-30,4684
2015-11-30,4154
2015-11-30,2588
2015-11-30,5018
2015-11-30,4883
2015-11-30,4644
2015-11-30,2605
2015-11-30,2506
2015-11-30,4021
2015-11-30,2573
2015-11-30,4051
2015-11-30,4773
2015-11-30,2670
2015-11-30,5175
2015-11-30,2521
2015-11-30,5102
2015-11-30,4897
2015-11-30,5142
2015-11-30,4752
2015-11-30,3562
2015-11-30,3907
2015-11-30,3747
2015-11-30,4189
2015-11-30,5031
2015-11-30,4858
2015-11-30,2653
2015-11-30,2448
2015-11-30,5177
2015-11-30,5116
2015-11-30,2636
2015-11-30,5057
2015-11-30,2650
2015-11-30,4612
2015-11-30,2549
2015-11-30,5198
2015-11-30,2512
2015-11-30,4927
2015-11-30,2538
2015-11-30,5077
2015-11-30,3952
2015-11-30,2648
2015-11-30,4908
2015-11-30,4487
2015-11-30,4806
2015-11-30,5100
2015-11-30,3790
2015-11-30,2528
2015-11-30,4164
2015-11-30,4561
2015-11-30,4377
2015-11-30,4402
2015-11-30,4876
2015-11-30,4962
2015-11-30,4552
2015-11-30,4580
2015-11-30,4757
2015-11-30,3162
2015-11-30,5089
2015-11-30,4418
2015-11-30,4373
2015-11-30,5039
2015-11-30,4105
2015-11-30,4057
2015-11-30,3882
2015-11-30,2643
2015-11-30,4138
2015-11-30,4303
2015-11-30,3934
2015-11-30,2514
2015-11-30,4090
2015-11-30,3868
2015-11-30,3917
2015-11-30,3628
2015-11-30,4829
